daily number
4516
4058
2828
2639
1382
2279
2563
2673
2503
1798
2089
1192
1410
2507
2153
2143
1769
1821
922
1345
2297
1916
2194
1901
1407
927
948
1630
1484
1892
1176
1499
814
988
1378
1453
1311
1256
1218
610
785
1479
1571
1507
1576
1278
711
782
1134
2327
1707
769
1431
481
718
1339
1452
1521
1182
1079
317
704
995
1164
1740
741
879
509
240
955
870
902
684
633
340
305
781
815
569
454
522
249
202
529
583
534
351
412
159
248
378
395
442
397
390
219
239
422
446
503
466
498
262
256
687
477
630
587
503
537
687
601
770
580
345
378
192
247
348
258
555
318
350
214
301
407
507
394
342
213
333
286
738
741
353
362
432
289
431
638
460
745
797
513
342
583
620
913
933
798
933
357
667
1251
1209
1194
1037
685
679
793
945
1639
1478
1304
1144
1018
1737
2055
2337
2352
2237
1785
1775
2458
3609
3380
2866
2486
2082
2537
2821
4133
5323
4974
4003
3834
3677
5936
6082
6174
6156
5453
4615
4751
3965
6294
5780
4954
2342
4438
3311
3276
4049
5940
1042
1144
1174
1043
733
693
802
271
157
237
55
163
284
138
66
39
28
18
54
10
26
4
2
0
0
0
0
0
0
0
0
0
0
0
0
0
2
0
0
0
1
1
0
0
2
1
1
2
1
0
3
1
